;fechamuestreo;patente;latitud;longitud;num_paradero;dist30s;dist_total;grupo
111;2018-08-01 16:51:35;BJFF-15;-33.4601097;-70.6516571;43;0.0558036339356271;12.971143505517448;1
112;2018-08-01 16:52:05;BJFF-15;-33.462616;-70.6512985;43;0.2806666262636778;13.251810131781124;1
113;2018-08-01 16:52:35;BJFF-15;-33.4635353;-70.6511307;43;0.1034000001420489;13.355210131923174;1
114;2018-08-01 16:53:05;BJFF-15;-33.4637833;-70.6510773;44;0.0280180223247037;13.38322815424788;1
115;2018-08-01 16:53:35;BJFF-15;-33.4669456;-70.6506042;45;0.3543602363766583;13.737588390624536;1
116;2018-08-01 16:54:05;BJFF-15;-33.4696045;-70.6501999;45;0.2980256247035122;14.035614015328049;1
117;2018-08-01 16:54:35;BJFF-15;-33.4697647;-70.6501694;46;0.0180367355775749;14.053650750905623;1
118;2018-08-01 16:55:05;BJFF-15;-33.4707298;-70.65000914999999;46;0.1083389411608044;14.161989692066427;1
119;2018-08-01 16:55:35;BJFF-15;-33.4716949;-70.6498489;46;0.1083389411608044;14.270328633227232;1
120;2018-08-01 16:56:05;BJFF-15;-33.4728546;-70.6496887;46;0.1298062333585413;14.400134866585772;1
121;2018-08-01 16:56:35;BJFF-15;-33.4731369;-70.6496353;47;0.031778852100618;14.431913718686392;1
122;2018-08-01 16:57:05;BJFF-15;-33.4739151;-70.6494751;47;0.0877985063696959;14.519712225056088;1
123;2018-08-01 16:57:35;BJFF-15;-33.4744339;-70.6486816;47;0.0935127164104584;14.613224941466546;1
124;2018-08-01 16:58:05;BJFF-15;-33.475235;-70.6484375;48;0.0919105555661271;14.705135497032671;1
125;2018-08-01 16:58:35;BJFF-15;-33.4754601;-70.648407;48;0.0251895783532579;14.730325075385933;1
126;2018-08-01 16:59:05;BJFF-15;-33.4759674;-70.6483688;48;0.0565204862990221;14.786845561684954;1
127;2018-08-01 16:59:35;BJFF-15;-33.4793968;-70.6483688;49;0.3813324700241945;15.168178031709148;1
128;2018-08-01 17:00:05;BJFF-15;-33.4828415;-70.6493607;49;0.3939258488916533;15.562103880600802;1
129;2018-08-01 17:00:35;BJFF-15;-33.4831009;-70.649437;49;0.029699322160624;15.591803202761426;1
130;2018-08-01 17:01:05;BJFF-15;-33.483181;-70.6494598;49;0.009154258467251;15.600957461228676;1
131;2018-08-01 17:01:35;BJFF-15;-33.484314;-70.649765;50;0.1291244930710187;15.730081954299695;1
132;2018-08-01 17:02:05;BJFF-15;-33.4846992;-70.6498642;50;0.0438092887078604;15.773891243007556;1
